,goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0,6,0,0,32,49.23,16,51.61,16,2,68.25,48,50.0,500,13,6,16,7,0,0,0,4,0,0,0,0,0,42,1,86,11,0,0.0,3,50.0,2,3,1,5,32,14,7,18.75,2,2,0.0,0,0,0,Khadija Shaw,Manchester City W.F.C.
1,6,2,0,26,55.32,4,57.14,13,1,81.9,30,55.56,492,5,7,8,7,0,0,0,5,1,0,0,0,0,76,2,190,9,3,25.0,21,70.0,1,1,1,2,29,13,6,20.69,2,1,0.0,0,0,0,Lauren James,Chelsea FC Women
2,1,0,0,6,75.0,1,25.0,3,0,68.57,7,58.33,167,3,1,1,2,0,0,0,1,1,0,0,0,0,29,0,48,11,7,35.0,1,33.33,0,2,0,1,3,3,0,33.33,0,1,,0,0,0,Guro Reiten,Chelsea FC Women
3,0,0,0,22,73.33,5,50.0,5,1,85.07,27,67.5,458,2,4,0,6,0,0,0,5,0,0,0,0,0,97,3,319,20,19,50.0,19,54.29,9,8,2,0,2,1,0,0.0,0,0,0.0,0,1,0,Ève Périsset,Chelsea FC Women
4,1,3,0,37,67.27,15,60.0,8,2,79.27,52,65.0,720,4,4,4,8,0,0,0,7,2,0,0,0,0,96,3,413,26,19,37.25,24,38.71,10,7,9,0,10,5,2,10.0,1,0,0.0,0,0,0,Katie Zelem,Manchester United Women
5,1,1,0,32,56.14,15,68.18,13,3,81.08,47,59.49,689,1,5,11,8,0,0,0,6,1,0,0,0,0,133,4,377,8,5,21.74,19,59.38,11,11,2,0,15,5,6,6.67,0,2,0.0,0,0,0,Niamh Charles,Chelsea FC Women
6,6,2,0,21,48.84,11,42.31,9,1,71.75,32,46.38,718,6,1,5,8,0,0,0,15,0,0,0,0,0,49,2,127,9,0,0.0,4,44.44,4,3,2,3,32,20,3,18.75,1,11,0.0,0,0,0,Martha Thomas,Tottenham FC Women
7,3,1,0,23,38.98,0,0.0,8,1,84.14,23,34.85,651,8,6,12,8,0,0,0,4,0,0,0,0,0,95,4,191,18,16,21.62,7,70.0,4,2,9,2,35,15,11,8.57,1,1,0.0,0,0,0,Chloe Kelly,Manchester City W.F.C.
8,5,2,0,27,49.09,8,38.1,4,2,86.47,35,46.05,659,8,2,11,8,0,0,0,3,0,0,0,0,0,102,1,262,12,3,75.0,12,80.0,5,5,14,2,21,9,8,23.81,0,0,0.0,0,0,0,Jill Roord,Manchester City W.F.C.
9,3,3,0,34,58.62,1,33.33,7,1,78.55,35,57.38,610,10,3,10,8,0,0,0,7,0,0,0,0,0,96,3,249,15,10,27.78,22,51.16,5,8,8,1,15,7,7,20.0,0,0,0.0,0,0,0,Katie McCabe,Arsenal Women
10,4,0,0,23,56.1,6,66.67,1,1,78.82,29,58.0,384,11,4,5,7,0,0,0,5,0,0,0,0,0,31,2,67,9,2,22.22,0,0.0,2,3,4,1,16,9,4,25.0,1,7,0.0,0,0,0,Nikita Parris,Manchester United Women
11,0,1,0,10,66.67,3,100.0,1,1,81.69,13,72.22,151,3,2,2,3,0,0,0,1,0,0,0,0,0,53,1,116,4,0,0.0,3,33.33,0,5,0,0,5,2,1,0.0,0,0,,0,0,0,Melanie Leupolz,Chelsea FC Women
12,0,0,0,0,0.0,2,100.0,0,0,80.33,2,100.0,90,0,0,0,1,3,2,1,0,0,0,0,3,0,0,0,49,0,0,0.0,9,42.86,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Teagan Micah,Liverpool FC Women
13,0,1,0,1,100.0,0,0.0,0,0,78.49,1,33.33,540,1,0,0,6,31,23,8,12,0,5,1,2,1,1,0,146,0,0,0.0,28,41.79,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Courtney Brosnan,Everton Women
14,0,0,0,17,70.83,0,0.0,7,2,88.41,17,68.0,274,5,0,4,4,0,0,0,2,0,0,0,0,0,38,0,145,9,3,50.0,6,60.0,3,2,1,0,1,1,0,0.0,0,0,0.0,0,1,0,Kyra Cooney-Cross,Arsenal Women
15,0,0,0,0,0.0,4,100.0,0,0,79.26,4,100.0,720,0,0,0,8,41,30,11,17,1,2,2,5,2,2,0,256,0,0,0.0,41,42.71,0,8,0,0,0,0,0,0.0,0,0,0.0,1,1,0,Janina Leitzig,Leicester City WFC
16,0,0,0,0,0.0,1,100.0,0,0,60.31,1,100.0,630,0,0,0,7,39,30,9,14,2,6,0,0,0,4,0,158,0,0,0.0,72,44.17,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sophie Baggaley,Brighton
17,1,1,1,33,62.26,8,66.67,7,3,88.74,41,63.08,696,9,5,7,8,0,0,0,5,0,0,0,0,0,106,1,449,7,0,0.0,9,36.0,16,13,5,0,4,2,1,25.0,0,0,0.0,0,0,0,Laia Aleixandri,Manchester City W.F.C.
18,1,0,0,10,76.92,18,85.71,1,0,85.09,28,82.35,528,0,1,1,6,0,0,0,3,1,0,0,0,0,50,1,411,1,0,0.0,31,46.97,12,15,1,1,10,3,2,10.0,1,1,0.0,0,0,0,Millie Bright,Chelsea FC Women
19,4,1,0,14,42.42,10,66.67,5,1,78.88,24,50.0,433,3,4,8,7,0,0,0,3,0,0,0,0,0,74,1,198,7,0,0.0,5,41.67,6,5,5,3,16,8,3,25.0,0,0,0.0,0,0,0,Sjoeke Nüsken,Chelsea FC Women
20,3,0,0,15,41.67,3,33.33,6,1,71.67,18,40.0,603,1,4,5,8,0,0,0,5,0,0,0,0,0,84,2,215,22,20,41.67,13,50.0,4,5,8,0,11,8,2,27.27,0,0,0.0,0,0,0,Marie Theresa Höbinger,Liverpool FC Women
21,3,0,0,6,35.29,12,70.59,0,3,75.74,18,52.94,435,3,2,7,6,0,0,0,4,0,0,0,0,0,54,3,103,8,2,33.33,0,0.0,1,3,0,2,16,6,2,18.75,1,6,0.0,0,0,0,Samantha Kerr,Chelsea FC Women
22,3,1,1,22,41.51,4,50.0,13,2,71.43,26,42.62,513,4,6,11,7,0,0,0,4,0,0,0,0,0,51,4,110,15,3,27.27,5,71.43,1,2,0,1,18,10,2,16.67,2,3,0.0,0,0,0,Lauren Hemp,Manchester City W.F.C.
23,0,0,0,29,67.44,2,33.33,8,0,87.82,31,63.27,707,6,0,5,8,0,0,0,5,0,0,0,0,0,114,1,440,12,0,0.0,8,44.44,19,5,6,0,3,1,1,0.0,0,0,0.0,0,0,0,Yui Hasegawa,Manchester City W.F.C.
24,1,1,0,59,62.77,7,70.0,13,0,77.42,66,63.46,720,10,6,6,8,0,0,0,16,0,0,0,0,0,68,1,288,10,4,40.0,14,38.89,18,20,14,0,9,4,2,11.11,0,1,0.0,0,0,0,Ashleigh Neville,Tottenham FC Women
25,5,0,0,23,48.94,8,36.36,2,0,77.45,31,44.93,556,8,10,11,8,0,0,0,12,1,0,0,0,0,29,1,79,3,0,0.0,6,100.0,0,0,2,1,22,10,5,22.73,0,8,0.0,0,0,0,Elisabeth Terland,Brighton
26,2,0,0,10,37.04,39,66.1,1,2,61.59,49,56.98,484,3,7,5,6,0,0,0,8,0,0,0,0,0,38,2,101,3,1,20.0,7,87.5,2,5,6,5,21,8,0,9.52,0,1,0.0,0,0,0,Sophie Haug,Liverpool FC Women
27,1,0,0,17,47.22,1,33.33,9,3,83.78,18,46.15,393,2,0,8,6,0,0,0,3,0,0,0,0,0,57,2,124,12,3,33.33,3,75.0,6,0,5,2,10,4,3,10.0,0,1,0.0,0,0,0,Johanna Rytting Kaneryd,Chelsea FC Women
28,1,0,0,5,50.0,0,0.0,1,0,75.0,5,50.0,50,2,0,3,2,0,0,0,0,0,0,0,0,0,6,0,12,2,1,100.0,1,33.33,0,0,0,0,5,2,1,20.0,2,0,0.0,0,0,0,Lina Hurtig,Arsenal Women
29,0,0,0,21,72.41,6,42.86,1,1,85.44,27,62.79,715,3,4,1,8,0,0,0,9,0,0,0,0,0,55,1,352,4,0,0.0,29,72.5,8,17,3,0,5,0,0,0.0,0,0,0.0,0,0,0,Grace Fisk,Liverpool FC Women
30,2,2,0,38,43.68,6,54.55,18,2,76.13,44,44.9,637,5,12,14,8,0,0,0,7,0,0,0,0,0,112,2,185,13,2,8.7,3,33.33,4,2,7,1,24,7,11,8.33,3,3,0.0,0,0,0,Caitlin Foord,Arsenal Women
31,1,0,0,7,46.67,28,75.68,0,0,92.87,35,67.31,708,2,4,3,8,0,0,0,7,2,0,0,0,0,27,0,521,1,0,0.0,21,65.63,7,41,0,0,16,4,3,6.25,0,0,0.0,0,0,0,Millie Turner,Manchester United Women
32,2,1,0,52,48.6,5,71.43,24,1,78.97,57,50.0,645,10,13,21,8,0,0,0,13,0,0,0,0,0,75,0,229,11,1,14.29,12,60.0,9,4,7,0,19,9,6,10.53,0,2,0.0,0,0,0,Grace Clinton,Tottenham FC Women
33,1,0,0,19,50.0,0,0.0,5,2,86.6,19,44.19,340,3,0,12,8,0,0,0,4,0,0,0,0,0,77,4,168,13,1,20.0,2,50.0,2,0,0,2,10,6,0,10.0,3,4,0.0,0,0,0,Francesca Kirby,Chelsea FC Women
34,1,2,0,18,66.67,22,64.71,2,0,79.13,40,65.57,684,2,7,1,8,0,0,0,8,0,0,0,0,0,19,0,273,2,1,50.0,26,46.43,8,39,1,0,9,1,3,11.11,1,0,0.0,0,0,0,Gemma Bonner,Liverpool FC Women
