,match_id,id,minute,team_name,type_name,sub_type_name,player_name,x,y,end_x,end_y,outcome_name,shot_statsbomb_xg,goal,shoot,move,xt
5,2275127,9f55eb20-c086-408e-990c-549b19d3f5eb,0,Reading WFC,Pass,Kick Off,Fara Williams,61.0,40.1,47.7,49.4,,,False,False,True,-0.00979463490323049
7,2275127,c00224f6-8376-4c12-bc52-356830e1ee22,0,Reading WFC,Carry,,Jade Moore,47.7,49.4,50.4,50.5,,,False,False,True,0.0
9,2275127,3a8941d3-6f16-49e4-a358-a89b2e4548c9,0,Reading WFC,Pass,,Jade Moore,50.4,50.5,80.5,25.2,,,False,False,True,0.020302902691088837
14,2275127,9167c849-5488-418b-b560-6c351182a5e6,0,Everton LFC,Pass,Recovery,Chloe Kelly,49.1,26.7,36.0,9.9,,,False,False,True,-0.0031402412924073078
17,2275127,94382d3d-97df-4e95-a490-b409c62b6d59,0,Everton LFC,Carry,,Danielle Turner,36.0,9.9,35.6,9.2,,,False,False,True,0.0
23,2275127,ddfc067a-02f7-4b3a-b9f9-7d9415518739,0,Everton LFC,Pass,Throw-in,Danielle Turner,30.1,0.1,41.4,3.7,,,False,False,True,0.0031089534681797617
25,2275127,12312af4-5313-4b6a-a2bd-d06e0a1ba21a,0,Everton LFC,Carry,,Molly Pike,41.4,3.7,37.8,1.2,,,False,False,True,0.0
27,2275127,082b2db9-d1a9-48fb-b7ae-09937d3944a6,0,Everton LFC,Pass,,Molly Pike,37.8,1.2,64.2,0.1,,,False,False,True,0.0021295547434014763
30,2275127,b7fa3d9e-bf4d-4f85-b8be-c22c0188626f,0,Everton LFC,Carry,,Simone Magill,64.2,0.1,66.2,0.8,,,False,False,True,0.0
32,2275127,33679f90-c7a6-4d03-9426-23d48d7907ce,0,Reading WFC,Pass,Throw-in,Brooke Chaplen,58.6,80.0,50.1,50.7,,,False,False,True,0.004459139700186289
38,2275127,c94bc545-c87c-474d-9804-876d06a0fa96,1,Everton LFC,Carry,,Molly Pike,48.0,26.9,55.8,26.3,,,False,False,True,0.001513927565102175
40,2275127,a1c0d5fb-cfb3-42ee-a4ab-8cd7dca1e7a9,1,Everton LFC,Pass,,Molly Pike,55.8,26.3,66.9,28.7,,,False,False,True,0.007227292408018865
43,2275127,5fa4818e-b1e6-4368-b906-53f9f4ce7029,1,Everton LFC,Carry,,Simone Magill,66.9,28.7,67.5,28.5,,,False,False,True,-0.00011089601886498518
46,2275127,ef51e941-e5e6-4a85-b8d4-83e6f47ef001,1,Everton LFC,Pass,Recovery,Lucy Hope,64.6,38.2,85.5,24.9,,,False,False,True,0.018302974659927786
50,2275127,60a92267-2dbb-4635-9efc-287da926104a,1,Reading WFC,Carry,,Grace Moloney,3.6,56.3,15.1,40.1,,,False,False,True,0.001120447476507131
51,2275127,1f6e611d-e689-45ca-a779-cfd65e908a76,1,Reading WFC,Pass,,Grace Moloney,15.1,40.1,22.1,21.6,,,False,False,True,0.0024595032216754784
53,2275127,72278b61-fa1c-4b5f-b498-67d65afacc68,1,Reading WFC,Carry,,Sophie Howard,22.1,21.6,25.3,15.5,,,False,False,True,0.0011078746547875072
