,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
0,Sabit Abdulai,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,9,8,720,8.0,1,0,1,1,0,0,3,0,0.12,0.0,0.12,0.12,0.12,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,8.0,1,9,2,22.2,1.13,0.25,0.11,0.5,0.0,0,0,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,8.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,9,720,80,26.7,8.0,8,87,7,1,28,0,1.11,4,6,-2,-0.25,0.2,gh GHA,MF,Botafogo (SP),Brasileirao B,25-155,1999,8.0,3,0,0,21,16,0,1,9,10,0.0,0.0,0
1,Ianson Acosta,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,18,16,"1,538",17.1,1,0,1,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,17.1,1,6,3,50.0,0.35,0.18,0.17,0.33,0.0,0,0,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,17.1,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,18,"1,538",85,57.0,17.1,16,90,16,2,49,11,1.17,13,20,-7,-0.41,0.06,br BRA,DF,Brusque Futebol Clube,Brasileirao B,29-090,1995,17.1,3,0,0,12,4,0,0,25,23,0.0,0.0,0
2,Lucas Adell,br BRA,DF,Guarani,Brasileirao B,24-090,2000,12,12,"1,052",11.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Guarani,Brasileirao B,24-090,2000,11.7,0,6,0,0.0,0.51,0.0,0.0,0.0,0.0,0,0,br BRA,DF,Guarani,Brasileirao B,24-090,2000,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Guarani,Brasileirao B,24-090,2000,11.7,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Guarani,Brasileirao B,24-090,2000,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Guarani,Brasileirao B,24-090,2000,11.7,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,br BRA,DF,Guarani,Brasileirao B,24-090,2000,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Guarani,Brasileirao B,24-090,2000,12,"1,052",88,40.3,11.7,12,88,11,0,0,14,0.33,7,19,-12,-1.03,-0.97,br BRA,DF,Guarani,Brasileirao B,24-090,2000,11.7,1,0,0,10,9,1,3,14,12,0.0,0.0,1
3,Ademilson,br BRA,FW,Avaí,Brasileirao B,30-278,1994,10,1,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,Avaí,Brasileirao B,30-278,1994,2.4,0,7,2,28.6,2.86,0.82,0.0,0.0,0.0,0,0,br BRA,FW,Avaí,Brasileirao B,30-278,1994,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,Avaí,Brasileirao B,30-278,1994,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,Avaí,Brasileirao B,30-278,1994,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,Avaí,Brasileirao B,30-278,1994,2.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,br BRA,FW,Avaí,Brasileirao B,30-278,1994,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,Avaí,Brasileirao B,30-278,1994,10,220,22,7.9,2.4,1,65,0,9,17,6,1.3,3,1,2,0.82,0.85,br BRA,FW,Avaí,Brasileirao B,30-278,1994,2.4,0,0,0,3,4,1,2,1,0,0.0,0.0,0
4,Adyson,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,25,15,"1,364",15.2,2,2,4,2,0,0,4,0,0.13,0.13,0.26,0.13,0.26,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,15.2,2,32,10,31.3,2.11,0.66,0.06,0.2,0.0,0,0,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,15.2,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,15.2,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,25,"1,364",55,48.9,15.2,15,73,1,10,27,4,1.56,17,14,3,0.2,-0.43,br BRA,"MF,FW",América (MG),Brasileirao B,19-021,2005,15.2,4,0,0,29,33,4,85,9,19,0.0,0.0,0
5,Marcel Afonso,br BRA,DF,Ituano,Brasileirao B,28-179,1996,9,6,524,5.8,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Ituano,Brasileirao B,28-179,1996,5.8,0,1,1,100.0,0.17,0.17,0.0,0.0,0.0,0,0,br BRA,DF,Ituano,Brasileirao B,28-179,1996,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Ituano,Brasileirao B,28-179,1996,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Ituano,Brasileirao B,28-179,1996,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Ituano,Brasileirao B,28-179,1996,5.8,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,br BRA,DF,Ituano,Brasileirao B,28-179,1996,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,DF,Ituano,Brasileirao B,28-179,1996,9,524,58,19.4,5.8,6,81,5,3,13,2,1.1,10,16,-6,-1.03,-0.66,br BRA,DF,Ituano,Brasileirao B,28-179,1996,5.8,4,2,1,6,0,0,0,2,4,0.0,0.0,0
6,Airton,br BRA,MF,Guarani,Brasileirao B,25-254,1999,20,18,"1,366",15.2,3,2,5,3,0,0,4,0,0.2,0.13,0.33,0.2,0.33,br BRA,MF,Guarani,Brasileirao B,25-254,1999,15.2,3,41,13,31.7,2.7,0.86,0.07,0.23,0.0,0,0,br BRA,MF,Guarani,Brasileirao B,25-254,1999,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,br BRA,MF,Guarani,Brasileirao B,25-254,1999,15.2,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,Guarani,Brasileirao B,25-254,1999,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,Guarani,Brasileirao B,25-254,1999,15.2,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,br BRA,MF,Guarani,Brasileirao B,25-254,1999,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,Guarani,Brasileirao B,25-254,1999,20,"1,366",68,52.3,15.2,18,72,1,2,31,0,0.95,18,21,-3,-0.2,0.53,br BRA,MF,Guarani,Brasileirao B,25-254,1999,15.2,4,0,0,18,25,7,46,6,10,0.0,0.0,0
7,Matheus Albino,br BRA,GK,CRB,Brasileirao B,29-252,1995,29,29,"2,610",29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,br BRA,GK,CRB,Brasileirao B,29-252,1995,29.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,br BRA,GK,CRB,Brasileirao B,29-252,1995,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,br BRA,GK,CRB,Brasileirao B,29-252,1995,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,GK,CRB,Brasileirao B,29-252,1995,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,GK,CRB,Brasileirao B,29-252,1995,29.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,br BRA,GK,CRB,Brasileirao B,29-252,1995,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,GK,CRB,Brasileirao B,29-252,1995,29,"2,610",90,96.7,29.0,29,90,29,0,0,1,1.14,29,34,-5,-0.17,1.83,br BRA,GK,CRB,Brasileirao B,29-252,1995,29.0,2,0,0,0,7,0,0,0,1,0.0,0.0,0
8,José Aldo,br BRA,MF,Ituano,Brasileirao B,26-080,1998,23,20,"1,664",18.5,4,1,5,3,1,1,9,1,0.22,0.05,0.27,0.16,0.22,br BRA,MF,Ituano,Brasileirao B,26-080,1998,18.5,4,21,6,28.6,1.14,0.32,0.14,0.5,0.0,1,1,br BRA,MF,Ituano,Brasileirao B,26-080,1998,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,br BRA,MF,Ituano,Brasileirao B,26-080,1998,18.5,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,Ituano,Brasileirao B,26-080,1998,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,Ituano,Brasileirao B,26-080,1998,18.5,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,br BRA,MF,Ituano,Brasileirao B,26-080,1998,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,Ituano,Brasileirao B,26-080,1998,23,"1,664",72,61.6,18.5,20,79,8,3,25,4,1.09,20,25,-5,-0.27,0.6,br BRA,MF,Ituano,Brasileirao B,26-080,1998,18.5,9,1,1,32,29,0,45,25,33,0.0,0.0,0
9,Ale,br BRA,MF,América (MG),Brasileirao B,34-129,1990,29,29,"2,442",27.1,4,1,5,4,0,1,4,0,0.15,0.04,0.18,0.15,0.18,br BRA,MF,América (MG),Brasileirao B,34-129,1990,27.1,4,30,13,43.3,1.11,0.48,0.13,0.31,0.0,0,1,br BRA,MF,América (MG),Brasileirao B,34-129,1990,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,br BRA,MF,América (MG),Brasileirao B,34-129,1990,27.1,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,América (MG),Brasileirao B,34-129,1990,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,América (MG),Brasileirao B,34-129,1990,27.1,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,br BRA,MF,América (MG),Brasileirao B,34-129,1990,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,América (MG),Brasileirao B,34-129,1990,29,"2,442",84,87.5,27.1,29,84,17,0,0,0,1.55,36,21,15,0.55,1.07,br BRA,MF,América (MG),Brasileirao B,34-129,1990,27.1,4,0,0,28,47,0,26,21,27,0.0,0.0,0
