,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
0,Carlos Enrique Áñez,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,21,19,"1,611",17.9,3,0,3,3,0,0,9,1,0.17,0.0,0.17,0.17,0.17,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,17.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,21,"1,611",77,74.6,17.9,19,82,11,2,25,0,1.57,20,24,-4,-0.22,0.0,bo BOL,DF,Oriente Petrolero,Primera Division Bolivia,29-099,1995,17.9,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Carlos Abastoflor,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,4,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,4,140,35,6.5,1.6,2,45,0,2,25,6,1.0,0,0,0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Carlos Abastoflor,bo BOL,MF,Real Santa Cruz,Primera Division Bolivia,22-187,2002,12,11,906,10.1,2,1,3,2,0,0,3,0,0.2,0.1,0.3,0.2,0.3,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,4,140,35,6.5,1.6,2,45,0,2,25,6,1.0,0,0,0,0.0,0.0,bo BOL,MF,Always Ready,Primera Division Bolivia,22-187,2002,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,Freddy Abastoflor,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,4,2,232,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,4,232,58,10.3,2.6,2,90,2,2,26,1,0.25,3,6,-3,-1.16,0.0,bo BOL,FW,Real Santa Cruz,Primera Division Bolivia,31-277,1993,2.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Victor Abrego,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,9,1,221,2.5,1,1,2,1,0,0,1,0,0.41,0.41,0.81,0.41,0.81,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,2.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,9,221,25,9.1,2.5,1,45,0,8,22,2,1.89,6,6,0,0.0,0.0,bo BOL,FW,Nacional Potosí,Primera Division Bolivia,27-245,1997,2.5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Neto Acará,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,12,11,889,9.9,3,4,7,3,0,0,4,0,0.3,0.4,0.71,0.3,0.71,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,9.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,12,889,74,31.9,9.9,11,78,6,1,33,0,1.25,14,14,0,0.0,0.0,br BRA,FW,San Antonio Bulo Bulo,Primera Division Bolivia,25-130,1999,9.9,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Mauricio Adorno,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6,540,90,22.2,6.0,6,90,6,0,0,19,1.33,10,12,-2,-0.33,0.0,bo BOL,GK,Nacional Potosí,Primera Division Bolivia,23-193,2001,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,Fernando Aguilar,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,3,1,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,3,104,35,4.2,1.2,1,90,1,2,7,10,2.33,2,1,1,0.87,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,Fernando Aguilar,bo BOL,MF,Real Tomayapo,Primera Division Bolivia,27-185,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,3,104,35,4.2,1.2,1,90,1,2,7,10,2.33,2,1,1,0.87,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,27-185,1997,1.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Daniel Aguilera,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1,90,90,3.4,1.0,1,90,1,0,0,0,0.0,0,1,-1,-1.0,0.0,bo BOL,DF,Indep Petrolero,Primera Division Bolivia,20-175,2004,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
