,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
0,José Abad Cuenú,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,8,8,675,7.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0,5,1,20.0,0.67,0.13,0.0,0.0,0.0,0,0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,8,675,84,25.0,7.5,8,84,7,0,0,2,1.63,6,6,0,0.0,-0.13,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,3,0,0,4,2,0,2,4,4,0.0,0.0,0
1,José Abad Cuenú,co COL,DF,Pasto,Primera Division Colombia,29-239,1995,12,12,938,10.4,1,0,1,1,0,0,4,0,0.1,0.0,0.1,0.1,0.1,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0,5,1,20.0,0.67,0.13,0.0,0.0,0.0,0,0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,8,675,84,25.0,7.5,8,84,7,0,0,2,1.63,6,6,0,0.0,-0.13,co COL,DF,Rionegro,Primera Division Colombia,29-239,1995,7.5,3,0,0,4,2,0,2,4,4,0.0,0.0,0
2,Felipe Acosta,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,28,26,"2,344",26.0,2,0,2,2,0,0,4,0,0.08,0.0,0.08,0.08,0.08,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,26.0,2,33,14,42.4,1.27,0.54,0.06,0.14,0.0,0,0,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,26.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,26.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,28,"2,344",84,68.5,26.0,26,89,21,2,21,0,1.54,21,22,-1,-0.04,0.46,co COL,MF,La Equidad,Primera Division Colombia,30-141,1994,26.0,4,0,0,39,38,4,16,14,26,0.0,0.0,0
3,Onel Acosta,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,14,13,"1,014",11.3,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,11.3,0,3,1,33.3,0.27,0.09,0.0,0.0,0.0,0,0,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,11.3,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,11.3,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,14,"1,014",72,35.2,11.3,13,76,7,1,20,0,1.21,17,15,2,0.18,0.71,co COL,DF,AD Cali,Primera Division Colombia,24-270,2000,11.3,7,0,0,12,6,2,12,11,10,0.0,0.0,0
4,Sebastián Acosta,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,7,4,327,3.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0,10,2,20.0,2.75,0.55,0.0,0.0,0.0,0,0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,7,327,47,9.6,3.6,4,62,0,3,27,1,1.14,2,5,-3,-0.83,-1.15,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,1,0,0,10,4,1,14,1,3,0.0,0.0,0
5,Sebastián Acosta,co COL,MF,Alianza,Primera Division Colombia,29-347,1994,5,2,212,2.4,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0,10,2,20.0,2.75,0.55,0.0,0.0,0.0,0,0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,7,327,47,9.6,3.6,4,62,0,3,27,1,1.14,2,5,-3,-0.83,-1.15,co COL,"MF,FW",Pereira,Primera Division Colombia,29-347,1994,3.6,1,0,0,10,4,1,14,1,3,0.0,0.0,0
6,Gustavo Adrián Ramírez,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,10,8,586,6.5,1,1,2,1,0,0,4,0,0.15,0.15,0.31,0.15,0.31,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,6.5,1,19,7,36.8,2.92,1.08,0.05,0.14,0.0,0,0,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,6.5,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,10,586,59,17.1,6.5,8,64,0,2,37,0,2.0,10,4,6,0.92,0.38,py PAR,FW,Tolima,Primera Division Colombia,34-153,1990,6.5,4,0,0,17,12,5,1,0,4,0.0,0.0,0
7,Andres Aedo,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,3,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,1.5,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,3,131,44,4.5,1.5,1,45,0,2,43,0,1.0,3,4,-1,-0.69,0.2,0,MF,Boyacá Chicó,Primera Division Colombia,0,0,1.5,0,0,0,0,2,0,0,2,2,0.0,0.0,0
8,Bleiner Agrón,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,17,10,"1,043",11.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,11.6,0,10,0,0.0,0.86,0.0,0.0,0.0,0.0,0,0,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,11.6,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,11.6,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,17,"1,043",61,30.5,11.6,10,89,9,7,22,4,1.24,14,17,-3,-0.26,-0.11,co COL,DF,La Equidad,Primera Division Colombia,23-232,2001,11.6,1,0,0,6,8,0,6,13,3,0.0,0.0,0
9,Facundo Aguero,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,16,14,"1,143",12.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,12.7,0,8,0,0.0,0.63,0.0,0.0,0.0,0.0,0,0,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,12.7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,12.7,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,16,"1,143",71,32.6,12.7,14,80,9,2,13,1,2.38,19,7,12,0.94,0.37,ar ARG,DF,Santa Fe,Primera Division Colombia,29-266,1995,12.7,1,1,0,6,3,0,1,20,13,0.0,0.0,0
