,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
0,Gabriel Achilier,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,23,22,"2,025",22.5,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,22.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,23,"2,025",88,93.8,22.5,22,90,22,1,45,1,1.22,22,29,-7,-0.31,-0.31,ec ECU,DF,Orense,Primera Division Ecuador,39-203,1985,22.5,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Enzo Acosta,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,3,1,120,1.3,0,1,1,0,0,0,0,0,0.0,0.75,0.75,0.0,0.75,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,3,120,40,5.6,1.3,1,44,0,2,38,0,3.0,6,1,5,3.75,4.28,ar ARG,MF,Orense,Primera Division Ecuador,27-318,1996,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Matías Acuña,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,9,8,708,7.9,5,1,6,2,3,3,1,0,0.64,0.13,0.76,0.25,0.38,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,7.9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,9,708,79,32.8,7.9,8,83,3,1,45,0,1.78,17,11,6,0.76,1.2,uy URU,FW,Mushuc Runa,Primera Division Ecuador,31-320,1992,7.9,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,Ricardo Adé,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,19,19,"1,699",18.9,1,0,1,1,0,0,5,1,0.05,0.0,0.05,0.05,0.05,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,18.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,19,"1,699",89,78.7,18.9,19,89,17,0,0,3,1.95,37,18,19,1.01,2.76,ht HAI,DF,LDU de Quito,Primera Division Ecuador,34-145,1990,18.9,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Ariel Alcívar,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,3,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,3,53,18,2.5,0.6,0,0,0,3,18,13,3.0,2,0,2,3.4,3.52,ec ECU,MF,Mushuc Runa,Primera Division Ecuador,23-259,2001,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Jordy Alcivar,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,6,1,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,6,184,31,8.5,2.0,1,90,1,5,19,2,2.67,3,1,2,0.98,0.39,ec ECU,MF,Independiente,Primera Division Ecuador,25-069,1999,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Juan Alcivar,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,13,2,310,3.4,0,1,1,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,13,310,24,14.4,3.4,2,55,0,11,18,10,0.85,4,7,-3,-0.87,-0.43,ec ECU,MF,Imbabura Sporting Club,Primera Division Ecuador,23-254,2001,3.4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,Gian Allala,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5,450,90,20.8,5.0,5,90,5,0,0,4,1.8,8,8,0,0.0,-0.53,uy URU,DF,LDU de Quito,Primera Division Ecuador,27-270,1997,5.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,Jorge Almagro,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,22,17,"1,296",14.4,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,14.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,22,"1,296",59,60.0,14.4,17,65,2,5,39,1,0.77,9,17,-8,-0.56,-0.24,ec ECU,"MF,DF",Cumbayá FC,Primera Division Ecuador,23-242,2001,14.4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Jostin Alman,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,19,17,"1,272",14.1,3,1,4,3,0,0,3,0,0.21,0.07,0.28,0.21,0.28,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,14.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,19,"1,272",67,58.9,14.1,17,72,5,2,24,1,1.0,9,20,-11,-0.78,-0.37,ec ECU,FW,Delfín,Primera Division Ecuador,29-155,1995,14.1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
