,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
0,Nelson Acevedo,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,17,8,739,8.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,8.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,17,739,43,22.2,8.2,8,72,3,9,18,2,1.06,12,15,-3,-0.37,-0.05,ar ARG,MF,Tacuary,Primera Division Paraguay,36-094,1988,8.2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Diego Acosta,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,6,3,255,2.8,1,1,2,1,0,0,0,0,0.35,0.35,0.71,0.35,0.71,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,2.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,6,255,43,7.7,2.8,3,66,1,3,19,12,1.33,4,4,0,0.0,-0.09,py PAR,FW,Sport Luqueño,Primera Division Paraguay,21-336,2002,2.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Marcelo Acosta,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,26,13,"1,095",12.2,1,2,3,1,0,0,2,2,0.08,0.16,0.25,0.08,0.25,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,12.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,26,"1,095",42,32.9,12.2,13,66,1,13,19,2,1.08,16,20,-4,-0.33,0.03,py PAR,MF,Sol de América,Primera Division Paraguay,23-312,2000,12.2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,Milciades Adorno,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,1,54,54,1.6,0.6,1,54,0,0,0,5,0.0,0,0,0,0.0,-0.16,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Milciades Adorno,py PAR,"FW,MF",Sportivo Ameliano,Primera Division Paraguay,19-260,2005,6,6,301,3.3,1,0,1,1,0,0,2,0,0.3,0.0,0.3,0.3,0.3,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,1,54,54,1.6,0.6,1,54,0,0,0,5,0.0,0,0,0,0.0,-0.16,py PAR,FW,Guaraní,Primera Division Paraguay,19-260,2005,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Pablo Adorno,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,9,5,555,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,6.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,9,555,62,17.1,6.2,5,90,5,4,26,3,1.89,7,5,2,0.32,0.29,py PAR,DF,2 de Mayo,Primera Division Paraguay,28-250,1996,6.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Angel Aguayo,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,1,26,26,0.8,0.3,0,0,0,1,26,1,0.0,0,1,-1,-3.46,-3.13,py PAR,MF,Sol de América,Primera Division Paraguay,18-136,2006,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,Gabriel Aguayo,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,21,10,"1,093",12.1,1,4,5,1,0,0,1,0,0.08,0.33,0.41,0.08,0.41,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,12.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,21,"1,093",52,33.7,12.1,10,72,2,11,34,3,2.14,21,9,12,0.99,0.53,py PAR,"MF,FW",Cerro Porteño,Primera Division Paraguay,19-246,2005,12.1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,Alfredo Aguilar,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,32,32,"2,840",31.6,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,31.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,32,"2,840",89,85.3,31.6,32,89,31,0,0,0,1.34,35,36,-1,-0.03,-0.77,py PAR,GK,Sport Luqueño,Primera Division Paraguay,36-087,1988,31.6,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Gustavo Aguilar,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,22,3,662,7.4,0,1,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,7.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,22,662,30,20.4,7.4,3,88,2,19,21,11,1.77,14,7,7,0.95,0.29,py PAR,FW,Libertad,Primera Division Paraguay,24-304,1999,7.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
