,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
0,Baruj Aburto,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,1,18,18,0.7,0.2,0,0,0,1,18,1,1.0,0,0,0,0.0,0.07,pe PER,FW,Sport Boys,Primera Division Peru,22-234,2002,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Néstor Adrián Fernández,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,27,25,"2,094",23.3,6,2,8,4,2,6,9,0,0.26,0.09,0.34,0.17,0.26,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,23.3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,27,"2,094",78,77.6,23.3,25,82,13,2,20,0,1.26,21,23,-2,-0.09,0.81,py PAR,FW,Alianza Atlético,Primera Division Peru,32-070,1992,23.3,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Rotceh Aguilar,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,2,91,46,3.4,1.0,1,90,1,1,1,8,0.5,0,2,-2,-1.98,-2.01,pe PER,MF,CDC Santa Rosa,Primera Division Peru,23-123,2001,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,Carlos Aguinaga,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,1,5,5,0.2,0.1,0,0,0,1,5,7,3.0,1,0,1,18.0,17.47,pe PER,MF,Melgar,Primera Division Peru,22-052,2002,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Gonzalo Aguirre,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,3,2,134,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,3,134,45,5.0,1.5,2,65,0,1,4,4,2.33,4,1,3,2.01,1.56,pe PER,MF,Alianza Lima,Primera Division Peru,21-160,2003,1.5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Joaquín Aguirre Luza,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2,180,90,6.7,2.0,2,90,2,0,0,5,0.0,2,5,-3,-1.5,-1.21,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Joaquín Aguirre Luza,pe PER,DF,Unión Comercio,Primera Division Peru,29-081,1995,7,6,543,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2,180,90,6.7,2.0,2,90,2,0,0,5,0.0,2,5,-3,-1.5,-1.21,pe PER,DF,Sport Huancayo,Primera Division Peru,29-081,1995,2.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,Jostin Alarcón,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,26,11,"1,157",12.9,2,1,3,2,0,0,2,0,0.16,0.08,0.23,0.16,0.23,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,12.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,26,"1,157",45,42.9,12.9,11,68,1,15,27,0,2.12,38,13,25,1.94,2.0,pe PER,"MF,FW",Sporting Cristal,Primera Division Peru,22-093,2002,12.9,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,Nicolás Albarracín,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,24,19,"1,429",15.9,2,2,4,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,15.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,24,"1,429",60,52.9,15.9,19,67,3,5,33,0,0.71,12,34,-22,-1.39,-1.31,uy URU,"MF,FW",Mannucci,Primera Division Peru,31-124,1993,15.9,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Flavio Alcedo,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,12,11,921,10.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,10.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,12,921,77,34.1,10.2,11,80,8,1,39,3,1.0,9,12,-3,-0.29,-0.34,pe PER,DF,Sport Boys,Primera Division Peru,21-268,2003,10.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
