,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
0,Luciano Aberasteguy,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,2,24,12,1.0,0.3,0,0,0,2,12,4,1.5,1,1,0,0.0,0.18,uy URU,FW,Maldonado,Primera Division Uruguay,21-140,2003,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Mathías Abero,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,23,23,"1,953",21.7,1,0,1,1,0,0,13,2,0.05,0.0,0.05,0.05,0.05,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,21.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,23,"1,953",85,77.5,21.7,23,85,19,0,0,0,1.17,24,32,-8,-0.37,-0.69,uy URU,"DF,MF",Cerro,Primera Division Uruguay,34-187,1990,21.7,13,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Briam Acosta,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,7,3,358,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,7,358,51,14.2,4.0,3,82,1,4,28,0,0.57,3,8,-5,-1.26,-1.26,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,Briam Acosta,uy URU,MF,Cerro Largo,Primera Division Uruguay,27-036,1997,19,13,"1,121",12.5,0,1,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,7,358,51,14.2,4.0,3,82,1,4,28,0,0.57,3,8,-5,-1.26,-1.26,uy URU,MF,Maldonado,Primera Division Uruguay,27-036,1997,4.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Juan Acosta,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,14,5,599,6.7,0,1,1,0,0,0,3,0,0.0,0.15,0.15,0.0,0.15,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,14,599,43,23.8,6.7,5,90,5,9,17,11,1.71,11,5,6,0.9,1.0,uy URU,DF,Boston River,Primera Division Uruguay,30-337,1993,6.7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Lucas Acosta,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,6,3,272,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,6,272,45,10.8,3.0,3,79,1,3,12,3,0.17,2,3,-1,-0.33,-0.29,uy URU,FW,Liverpool,Primera Division Uruguay,22-261,2002,3.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Nahuel Acosta,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,10,1,202,2.2,1,0,1,1,0,0,1,0,0.45,0.0,0.45,0.45,0.45,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,2.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,10,202,20,8.0,2.2,1,45,0,9,17,8,2.1,7,1,6,2.67,1.97,uy URU,FW,Peñarol,Primera Division Uruguay,25-155,1999,2.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,Matías Acuña,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,15,8,833,9.3,4,0,4,3,1,1,2,0,0.43,0.0,0.43,0.32,0.32,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,9.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,15,833,56,33.1,9.3,8,81,4,7,27,3,1.2,12,12,0,0.0,0.32,uy URU,FW,Fénix,Primera Division Uruguay,31-320,1992,9.3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,Tomás Adoryán,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,24,22,"1,912",21.2,2,4,6,2,0,0,8,0,0.09,0.19,0.28,0.09,0.28,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,21.2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,24,"1,912",80,75.9,21.2,22,83,13,2,40,0,1.33,25,30,-5,-0.24,0.8,ar ARG,MF,Rampla Juniors,Primera Division Uruguay,23-021,2001,21.2,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Lucas Agazzi,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,21,7,768,8.5,1,3,4,1,0,0,1,0,0.12,0.35,0.47,0.12,0.47,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,8.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,21,768,37,30.5,8.5,7,88,6,14,11,5,1.67,15,12,3,0.35,-0.21,uy URU,MF,Defensor,Primera Division Uruguay,19-164,2005,8.5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
