,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
0,Héctor Acosta,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,8,6,532,5.9,0,0.0,0.0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,5.9,0,1,0,0.0,0.17,0.0,0.0,0.0,0.0,0,0,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,5.9,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,5.9,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,8,532,67,23.6,5.9,6,85,4,2,10,9,1.0,7,9,-2,-0.34,0.0,ve VEN,DF,Estud Mérida,Primera Division Venezuela,24-088,2000,5.9,3,1,1,6,4,0,4,5,10,0.0,0.0,0
1,Marcos Acosta,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,8,6,512,5.7,1,0.0,0.0,1,0,0,1,0,0.18,0.0,0.0,0.18,0.0,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,5.7,1,3,1,33.3,0.53,0.18,0.33,1.0,0.0,0,0,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,5.7,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,8,512,64,22.8,5.7,6,83,5,2,9,5,1.0,6,10,-4,-0.7,0.0,py PAR,DF,Monagas,Primera Division Venezuela,32-311,1991,5.7,1,0,0,7,2,0,0,7,1,0.0,0.0,0
2,Moisés Acuña,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11,11,990,11.0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0,1,0,0.0,0.09,0.0,0.0,0.0,0.0,0,0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11,990,90,35.5,11.0,11,90,11,0,0,5,1.42,12,13,-1,-0.09,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,6,0,0,10,5,0,0,5,7,0.0,0.0,0
3,Moisés Acuña,ve VEN,DF,CD Hermanos Colmenarez,Primera Division Venezuela,28-082,1996,7,6,574,6.4,0,0.0,0.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0,1,0,0.0,0.09,0.0,0.0,0.0,0.0,0,0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11,990,90,35.5,11.0,11,90,11,0,0,5,1.42,12,13,-1,-0.09,0.0,ve VEN,DF,Dep La Guaira,Primera Division Venezuela,28-082,1996,11.0,6,0,0,10,5,0,0,5,7,0.0,0.0,0
4,Ronald Acuña,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,12,8,738,8.2,4,0.0,0.0,4,0,0,3,0,0.49,0.0,0.0,0.49,0.0,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,8.2,4,19,8,42.1,2.32,0.98,0.21,0.5,0.0,0,0,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,8.2,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,12,738,62,32.8,8.2,8,74,3,4,38,0,1.42,11,8,3,0.37,0.0,py PAR,FW,Zamora,Primera Division Venezuela,31-141,1993,8.2,3,0,0,15,12,8,0,1,6,0.0,0.0,0
5,Livingstone Adjin,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,26,25,"2,203",24.5,0,0.0,0.0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,24.5,0,22,4,18.2,0.9,0.16,0.0,0.0,0.0,0,0,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,24.5,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,24.5,0.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,26,"2,203",85,79.0,24.5,25,87,20,1,29,0,0.73,21,37,-16,-0.65,0.0,gh GHA,MF,CD Hermanos Colmenarez,Primera Division Venezuela,35-184,1989,24.5,7,0,0,43,39,1,26,29,41,0.0,0.0,0
6,Daniel Aguilar,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,6,6,529,5.9,1,0.0,0.0,0,1,1,0,0,0.17,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,5.9,1,5,3,60.0,0.85,0.51,0.0,0.0,0.0,1,1,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,5.9,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,5.9,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,6,529,88,24.5,5.9,6,88,5,0,0,0,1.83,6,5,1,0.17,0.0,mx MEX,"DF,MF",Caracas,Primera Division Venezuela,26-250,1998,5.9,0,0,0,2,4,0,12,5,3,0.0,0.0,0
7,Junior Alberto Moreno,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,21,6,825,9.2,0,0.0,0.0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,9.2,0,4,2,50.0,0.44,0.22,0.0,0.0,0.0,0,0,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,9.2,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,21,825,39,29.6,9.2,6,76,3,15,25,10,1.67,12,16,-4,-0.44,0.0,ve VEN,"MF,DF",Portuguesa,Primera Division Venezuela,24-224,2000,9.2,4,0,0,25,6,0,0,9,13,0.0,0.0,0
8,Brayan Alcócer,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,20,13,"1,064",11.8,2,0.0,0.0,2,0,0,3,1,0.17,0.0,0.0,0.17,0.0,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,11.8,2,36,9,25.0,3.05,0.76,0.06,0.22,0.0,0,0,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,11.8,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,11.8,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,20,"1,064",53,39.4,11.8,13,70,2,7,23,4,1.6,17,12,5,0.42,0.0,ve VEN,"FW,MF",Universidad Central de Venezuela FC,Primera Division Venezuela,21-057,2003,11.8,3,1,1,19,17,6,26,2,4,0.0,0.0,0
9,Elías Alderete,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,24,22,"1,762",19.6,11,0.0,0.0,9,2,2,5,0,0.56,0.0,0.0,0.46,0.0,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,19.6,11,50,20,40.0,2.55,1.02,0.18,0.45,0.0,2,2,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,19.6,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,19.6,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,24,"1,762",73,78.3,19.6,22,78,9,2,20,0,1.25,28,30,-2,-0.1,0.0,ar ARG,FW,Estud Mérida,Primera Division Venezuela,29-075,1995,19.6,5,0,0,19,19,17,10,2,3,0.0,0.0,0
